prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6636838813829,6636838813829,6636838813829,Steve Madden Women's Viable Pointed Toe Heels - Black - Size 8 - Leather,https://www.stevemadden.com/products/viable-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"You’ll be the bell of the ball in VIABLE, the dress heel you’ll wear for years to come. Set atop a slender stiletto heel, this pointed-toe pair features a slim embellished ankle strap and bow design. 4.25 inch heel height Textile upper material with stones Vegan leather lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden VIABLE BLACK | 8 | Steve Madden Women's Viable Pointed Toe Heels - Black - Size 8 - Leather","You’ll be the bell of the ball in VIABLE, the dress heel you’ll wear for years to come. Set atop a slender stiletto heel, this pointed-toe pair features a slim embellished ankle strap and bow design. 4.25 inch heel height Textile upper material with stones Vegan leather lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden VIABLE BLACK | 8 | Steve Madden Women's Viable Pointed Toe Heels - Black - Size 8 - Leather",59.99,129.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_VIABLE_BLACK-SATIN01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,39623906525317,,IN STOCK,,"10, 8, 8.5, 9, 9.5",Black,,,1,TRUE,TRUE,TRUE
Steve Madden,6650115915909,6650115915909,6650115915909,Steve Madden Women's Annie Thong Heels - White - Size 6 - Leather,https://www.stevemadden.com/products/annie-white?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE WHITE | 6 | Steve Madden Women's Annie Thong Heels - White - Size 6 - Leather","Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE WHITE | 6 | Steve Madden Women's Annie Thong Heels - White - Size 6 - Leather",39.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_ANNIE_WHITE_01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,39652709957765,,IN STOCK,,"10, 11, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",White,,,2,TRUE,TRUE,TRUE
Steve Madden,6650115981445,6650115981445,6650115981445,Steve Madden Women's Annie Thong Heels - Black - Size 6 - Leather,https://www.stevemadden.com/products/annie-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE BLACK | 6 | Steve Madden Women's Annie Thong Heels - Black - Size 6 - Leather","Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE BLACK | 6 | Steve Madden Women's Annie Thong Heels - Black - Size 6 - Leather",79.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_ANNIE_BLACK_01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,39652710383749,,IN STOCK,,"10, 11, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,3,TRUE,TRUE,TRUE
Steve Madden,6650116210821,6650116210821,6650116210821,Steve Madden Women's Annie Thong Heels - Champagne - Size 7.5 - Leather,https://www.stevemadden.com/products/annie-champagne?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE CHAMPAGNE | 7.5 | Steve Madden Women's Annie Thong Heels - Champagne - Size 7.5 - Leather","Perfect for dressing up or down, ANNIE has so much going for her. A simple strappy silhouette and sexy stiletto heel work in tandem to complement all your work to play looks. 3.75 inch heel height Vegan leather upper material Vegan leather lining Vegan leather sock Synthetic sole Imported Steve Madden ANNIE CHAMPAGNE | 7.5 | Steve Madden Women's Annie Thong Heels - Champagne - Size 7.5 - Leather",79.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_ANNIE_CHAMPAGNE_01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,39652711530629,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Champagne,,,4,TRUE,TRUE,TRUE
Steve Madden,6663607615621,6663607615621,6663607615621,Steve Madden Women's Viable Pointed Toe Heels - Off White - Size 8.5 - Leather,https://www.stevemadden.com/products/viable-off-white?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"You’ll be the bell of the ball in VIABLE, the dress heel you’ll wear for years to come. Set atop a slender stiletto heel, this pointed-toe pair features a slim rhinestone-embellished ankle strap and bow design. 4.25 inch heel height Textile upper material with stones Vegan Leather lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden VIABLE OFF-WHITE | 8.5 | Steve Madden Women's Viable Pointed Toe Heels - Off White - Size 8.5 - Leather","You’ll be the bell of the ball in VIABLE, the dress heel you’ll wear for years to come. Set atop a slender stiletto heel, this pointed-toe pair features a slim rhinestone-embellished ankle strap and bow design. 4.25 inch heel height Textile upper material with stones Vegan Leather lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden VIABLE OFF-WHITE | 8.5 | Steve Madden Women's Viable Pointed Toe Heels - Off White - Size 8.5 - Leather",79.99,129.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_VIABLE_WHITE01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,39696308895877,,IN STOCK,,"10, 8.5, 9.5",Off White,,,5,TRUE,TRUE,TRUE
Steve Madden,6762153869445,6762153869445,6762153869445,Steve Madden Women's Electra Thong Heels - Black - Size 6 - Leather,https://www.stevemadden.com/products/electra-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"SHARP + ELEVATED + POLISHED A unique double toe loop strap design secures the ELECTRA sandal to its square toe sole, finished with a stiletto heel. Square toe stiletto toe loop sandal Ankle strap with buckle closure Double toe loop strap 4.25 inch heel height Vegan leather upper material Vegan leather lining Synthetic sole Imported Steve Madden ELECTRA BLACK | 6 | Steve Madden Women's Electra Thong Heels - Black - Size 6 - Leather","SHARP + ELEVATED + POLISHED A unique double toe loop strap design secures the ELECTRA sandal to its square toe sole, finished with a stiletto heel. Square toe stiletto toe loop sandal Ankle strap with buckle closure Double toe loop strap 4.25 inch heel height Vegan leather upper material Vegan leather lining Synthetic sole Imported Steve Madden ELECTRA BLACK | 6 | Steve Madden Women's Electra Thong Heels - Black - Size 6 - Leather",49.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_ELECTRA_BLACK_SIDE.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,40052324335749,,IN STOCK,,"10, 6, 6.5, 7.5, 8, 8.5, 9",Black,,,6,TRUE,TRUE,TRUE
Steve Madden,6808086478981,6808086478981,6808086478981,Steve Madden Women's Bri Pointed Toe Heels - Black Lace - Size 5 - Synthetic,https://www.stevemadden.com/products/bri-black-lace?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A grosgrain ribbon wraps around the slingback strap of the BRI point toe stiletto pump and finishes with a bow accenting the side of the shoe. Point toe stiletto slingback pump Slip-on style with slingback strap Accent bow at side 4 inch heel height Textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden BRI BLACK LACE | 5 | Steve Madden Women's Bri Pointed Toe Heels - Black Lace - Size 5 - Synthetic","A grosgrain ribbon wraps around the slingback strap of the BRI point toe stiletto pump and finishes with a bow accenting the side of the shoe. Point toe stiletto slingback pump Slip-on style with slingback strap Accent bow at side 4 inch heel height Textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden BRI BLACK LACE | 5 | Steve Madden Women's Bri Pointed Toe Heels - Black Lace - Size 5 - Synthetic",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_BRI_BLACK-LACE_01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,40172381765765,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black Lace,,,7,TRUE,TRUE,FALSE
Steve Madden,6808086741125,6808086741125,6808086741125,Steve Madden Women's Bri Pointed Toe Heels - Black Suede - Size 5,https://www.stevemadden.com/products/bri-black-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A grosgrain ribbon wraps around the slingback strap of the BRI point toe stiletto pump and finishes with a bow accenting the side of the shoe. Point toe stiletto slingback pump Slip-on style with slingback strap Accent bow at side 4 inch heel height Suede and textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden BRI BLACK SUEDE | 5 | Steve Madden Women's Bri Pointed Toe Heels - Black Suede - Size 5","A grosgrain ribbon wraps around the slingback strap of the BRI point toe stiletto pump and finishes with a bow accenting the side of the shoe. Point toe stiletto slingback pump Slip-on style with slingback strap Accent bow at side 4 inch heel height Suede and textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden BRI BLACK SUEDE | 5 | Steve Madden Women's Bri Pointed Toe Heels - Black Suede - Size 5",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_BRI_BLACK-SATIN_01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,40172386418821,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black Suede,,,8,TRUE,TRUE,FALSE
Steve Madden,6817461305477,6817461305477,6817461305477,Steve Madden Women's Priya Mule Heels - Red - Size 6 - Leather,https://www.stevemadden.com/products/priya-red-patent?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,DREAMY + DELICATE + CHARMING The PRIYA RED PATENT sandal pairs a slender stiletto heel with a retro-inspired peep toe design on the slide strap at the front. Stiletto peep toe slide sandal Slip-on style 4.25 inch heel height Patent leather upper material Leather lining Leather sock Synthetic sole Imported Steve Madden PRIYA RED PATENT | 6 | Steve Madden Women's Priya Mule Heels - Red - Size 6 - Leather,DREAMY + DELICATE + CHARMING The PRIYA RED PATENT sandal pairs a slender stiletto heel with a retro-inspired peep toe design on the slide strap at the front. Stiletto peep toe slide sandal Slip-on style 4.25 inch heel height Patent leather upper material Leather lining Leather sock Synthetic sole Imported Steve Madden PRIYA RED PATENT | 6 | Steve Madden Women's Priya Mule Heels - Red - Size 6 - Leather,79.99,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_PRIYA_RED-PATENT-LEATHER01.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,40197055840389,,IN STOCK,,6,Red,,,9,TRUE,TRUE,TRUE
Steve Madden,6817461403781,6817461403781,6817461403781,Steve Madden Women's Priya Mule Heels - Black - Size 5 - Leather,https://www.stevemadden.com/products/priya-black-patent?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"DREAMY + DELICATE + CHARMING The PRIYA sandal pairs a slender stiletto heel with a retro-inspired peep toe design on the slide strap at the front. Stiletto peep toe slide sandal Slip-on style 4.25 inch heel height Patent leather upper material Leather lining Leather sock Synthetic sole Complete the look with the MODEL bag Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden PRIYA BLACK PATENT | 5 | Steve Madden Women's Priya Mule Heels - Black - Size 5 - Leather","DREAMY + DELICATE + CHARMING The PRIYA sandal pairs a slender stiletto heel with a retro-inspired peep toe design on the slide strap at the front. Stiletto peep toe slide sandal Slip-on style 4.25 inch heel height Patent leather upper material Leather lining Leather sock Synthetic sole Complete the look with the MODEL bag Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden PRIYA BLACK PATENT | 5 | Steve Madden Women's Priya Mule Heels - Black - Size 5 - Leather",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_PRIYA_BLACK-PATENT.jpg,Women's Shoes > Heels,Women's Shoes > Heels,19/08/2026,,FALSE,40197056299141,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,10,TRUE,TRUE,FALSE
