prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
40395299,40395299,40395299,2-pack 90D Recycle Tights Boden,https://us.boden.com/products/women-2-pack-90d-recycle-tights-black-a1399blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_a1399_blk_01aac0b0-5756-4460-900c-8a709e778b82.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-2-pack-90d-recycle-tights-black-a1399blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,1464,IN STOCK,,,Black,,,,TRUE,TRUE
40122532,40122532,40122532,Plain Cami Top Boden,https://us.boden.com/products/women-plain-cami-top-light-beige-wo064lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_wo064_lpk_m01_5cc48547-7f0a-420b-9b27-d2265e02366b.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-plain-cami-top-light-beige-wo064lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,118,IN STOCK,,,Light Beige,,,,TRUE,TRUE
55038892,55038892,55038892,Supersoft Boat Neck T-Shirt Boden,https://us.boden.com/products/women-supersoft-boat-neck-t-shirt-navy-t1658nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_t1658_nav_m01_5432bbd6-ee2c-40fa-893d-cbee5b236e37.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-boat-neck-t-shirt-navy-t1658nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,17,IN STOCK,,,Navy,,,,TRUE,TRUE
55038790,55038790,55038790,Supersoft Frill Detail Top Boden,https://us.boden.com/products/women-supersoft-frill-detail-top-navy-t1657nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59.00,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/24waut_t1657_nav_m02_4e56cac7-6571-4aed-afa2-fcbaa4970032.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-frill-detail-top-navy-t1657nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,275,IN STOCK,,,Navy,,,,TRUE,TRUE
40332357,40332357,40332357,Classic Bikini Bottoms Boden,https://us.boden.com/products/women-classic-bikini-bottoms-black-s0197blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,69.00,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/23wspr_s0197_blk_m01_c0ef97a4-a093-45db-a69f-9c3b40cfb60c.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-classic-bikini-bottoms-black-s0197blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,141,IN STOCK,,,Black,,,,TRUE,TRUE
40495413,40495413,40495413,Whipstitch Classic Belt Boden,https://us.boden.com/products/women-whipstitch-classic-belt-tan-a1764tan?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,66.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_a1764_tan_1ad6d7f8-cd82-4fe2-85d8-a647d02b92e0.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-whipstitch-classic-belt-tan-a1764tan?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,386,IN STOCK,,,Tan,,,,TRUE,TRUE
40461139,40461139,40461139,Sparkle Tights Boden,https://us.boden.com/products/women-sparkle-tights-silver-a1635sil?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_a1635_sil_d01.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-sparkle-tights-silver-a1635sil?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,271,IN STOCK,,,Silver,,,,TRUE,TRUE
55038762,55038762,55038762,Supersoft Frill Detail T-shirt Boden,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-white-t1685wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.00,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1685_wht_m04_50284bb0-0ab6-4d6e-a05f-521a8970c676.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-white-t1685wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,228,IN STOCK,,,White,,,,TRUE,TRUE
55051867,55051867,55051867,Supersoft Frill Henley Top Boden,https://us.boden.com/products/women-supersoft-frill-henley-top-navy-t1734nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,69.00,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1734_nav_m01_ed0d2ad0-9be5-4b1e-9119-da242069718e.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-frill-henley-top-navy-t1734nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,235,IN STOCK,,,Navy,,,,TRUE,TRUE
40332381,40332381,40332381,Classic Bikini Bottoms Boden,https://us.boden.com/products/women-classic-bikini-bottoms-navy-s0197nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,69.00,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/23wspr_s0197_nav_m01_f63ca67a-4848-466e-b190-0cfac74c40ff.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-classic-bikini-bottoms-navy-s0197nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,74,IN STOCK,,,Navy,,,,TRUE,TRUE
55010890,55010890,55010890,Chunky T-bar Chain Necklace Boden,https://us.boden.com/products/women-chunky-t-bar-chain-necklace-gold-colour-a1773gld?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,89.00,89.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/24waut_a1773_gld_v1.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-chunky-t-bar-chain-necklace-gold-colour-a1773gld?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,144,IN STOCK,,,Gold Colour,,,,TRUE,TRUE
55028664,55028664,55028664,Supersoft Frill Detail T-shirt Boden,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-black-t1685blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.00,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1685_blk_m01_a5799397-aaa6-4b43-a908-250cb6c977fd.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-black-t1685blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,304,IN STOCK,,,Black,,,,TRUE,TRUE
55029251,55029251,55029251,Supersoft Boat Neck T-Shirt Boden,https://us.boden.com/products/women-supersoft-boat-neck-t-shirt-white-t1658wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1658_wht_m01_69afc498-bc8b-481d-9118-6660fe2c8071.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-supersoft-boat-neck-t-shirt-white-t1658wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,13,IN STOCK,,,White,,,,TRUE,TRUE
35794866,35794866,35794866,Plain Cami Top Boden,https://us.boden.com/products/women-plain-cami-top-white-wo064wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_wo064_wht_m01_64d51a12-c035-4806-8cf0-316fc68185e3.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-plain-cami-top-white-wo064wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,161,IN STOCK,,,White,,,,TRUE,TRUE
55053396,55053396,55053396,Sienna Linen Shirt Boden,https://us.boden.com/products/women-sienna-linen-shirt-white-t1736wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,110.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1736_wht_m01.jpg?v=1&width=800,Women,Women,22/09/2026,https://us.boden.com/products/women-sienna-linen-shirt-white-t1736wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,112,IN STOCK,,,White,,,,TRUE,TRUE
