prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6840235491461,6840235491461,Steve Madden Men's Maiven Slide Sandals - Black - Size 7 - Leather,https://www.stevemadden.com/products/maiven-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Textile lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN BLACK LEATHER | 7 | Steve Madden Men's Maiven Slide Sandals - Black - Size 7 - Leather","Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Textile lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN BLACK LEATHER | 7 | Steve Madden Men's Maiven Slide Sandals - Black - Size 7 - Leather",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_MAIVEN_BLACK_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,40259694624901,,IN STOCK,,"10, 11, 12, 13, 7, 8, 9",Black,,,1,TRUE,TRUE,FALSE
Steve Madden,6840235622533,6840235622533,Steve Madden Men's Maiven Slide Sandals - Brown - Size 7 - Leather,https://www.stevemadden.com/products/maiven-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Textile lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN BROWN LEATHER | 7 | Steve Madden Men's Maiven Slide Sandals - Brown - Size 7 - Leather","Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Textile lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN BROWN LEATHER | 7 | Steve Madden Men's Maiven Slide Sandals - Brown - Size 7 - Leather",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_MAIVEN_BROWN_01_b34cff99-dae0-48f3-8b03-0feba70f4bc2.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,40259695214725,,IN STOCK,,"10, 11, 12, 13, 7, 8, 9",Brown,,,2,TRUE,TRUE,FALSE
Steve Madden,6980871716997,6980871716997,Steve Madden Men's Maiven Slide Sandals - Taupe Suede - Size 7,https://www.stevemadden.com/products/maiven-taupe-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Suede upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN TAUPE SUEDE | 7 | Steve Madden Men's Maiven Slide Sandals - Taupe Suede - Size 7","Discover the versatile and stylish MAIVEN sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Suede upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN TAUPE SUEDE | 7 | Steve Madden Men's Maiven Slide Sandals - Taupe Suede - Size 7",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_MAIVEN_TAUPE-SUEDE_01_7dba6a78-a962-459e-b42a-ebe81c272aa6.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,40684143214725,,IN STOCK,,"10, 11, 12, 13, 7, 8, 9",Taupe Suede,,,3,TRUE,TRUE,FALSE
Steve Madden,7254987931781,7254987931781,Steve Madden Men's Yussuf Slide Sandals - Brown - Size 7 - Leather,https://www.stevemadden.com/products/yussuf-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The YUSSUF BROWN LEATHER is a versatile sandal designed for everyday comfort and style. Featuring a sleek construction, this slide silhouette offers effortless wearability for casual outings, poolside lounging, or quick errands. Perfect for those seeking a timeless, minimalist sandal that transitions seamlessly from season to season. .25 inch heel height Leather upper material Leather lining Synthetic sock Rubber sole Imported Steve Madden YUSSUF BROWN LEATHER | 7 | Steve Madden Men's Yussuf Slide Sandals - Brown - Size 7 - Leather","The YUSSUF BROWN LEATHER is a versatile sandal designed for everyday comfort and style. Featuring a sleek construction, this slide silhouette offers effortless wearability for casual outings, poolside lounging, or quick errands. Perfect for those seeking a timeless, minimalist sandal that transitions seamlessly from season to season. .25 inch heel height Leather upper material Leather lining Synthetic sock Rubber sole Imported Steve Madden YUSSUF BROWN LEATHER | 7 | Steve Madden Men's Yussuf Slide Sandals - Brown - Size 7 - Leather",99.95,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_YUSSUF_BROWN-LEATHER_04.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41560543428741,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Brown,,,4,TRUE,TRUE,FALSE
Steve Madden,7254988357765,7254988357765,Steve Madden Men's Yussuf Slide Sandals - Black - Size 7 - Leather,https://www.stevemadden.com/products/yussuf-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The YUSSUF BLACK LEATHER is a versatile sandal designed for everyday comfort and style. Featuring a sleek construction, this slide silhouette offers effortless wearability for casual outings, poolside lounging, or quick errands. Perfect for those seeking a timeless, minimalist sandal that transitions seamlessly from season to season. .25 inch heel height Leather upper material Leather lining Synthetic sock Rubber sole Imported Steve Madden YUSSUF BLACK LEATHER | 7 | Steve Madden Men's Yussuf Slide Sandals - Black - Size 7 - Leather","The YUSSUF BLACK LEATHER is a versatile sandal designed for everyday comfort and style. Featuring a sleek construction, this slide silhouette offers effortless wearability for casual outings, poolside lounging, or quick errands. Perfect for those seeking a timeless, minimalist sandal that transitions seamlessly from season to season. .25 inch heel height Leather upper material Leather lining Synthetic sock Rubber sole Imported Steve Madden YUSSUF BLACK LEATHER | 7 | Steve Madden Men's Yussuf Slide Sandals - Black - Size 7 - Leather",99.95,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_YUSSUF_BLACK-LEATHER_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41560545296517,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,5,TRUE,TRUE,FALSE
Steve Madden,7203315286149,7203315286149,Steve Madden Men's Luxor Slide Sandals - Dark Brown - Size 7 - Leather,https://www.stevemadden.com/products/luxor-dark-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The LUXOR DARK BROWN slide sandal combines understated elegance with everyday comfort. Featuring a contoured footbed that molds to your foot's natural shape, this design delivers support through extended wear. Rounded toe styling offers a refined silhouette, while adjustable buckle straps ensure a customized fit. Crafted with the discerning eye for quality footwear, this versatile slide transitions seamlessly from casual outings to relaxed weekend wear. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden LUXOR DARK BROWN | 7 | Steve Madden Men's Luxor Slide Sandals - Dark Brown - Size 7 - Leather","The LUXOR DARK BROWN slide sandal combines understated elegance with everyday comfort. Featuring a contoured footbed that molds to your foot's natural shape, this design delivers support through extended wear. Rounded toe styling offers a refined silhouette, while adjustable buckle straps ensure a customized fit. Crafted with the discerning eye for quality footwear, this versatile slide transitions seamlessly from casual outings to relaxed weekend wear. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden LUXOR DARK BROWN | 7 | Steve Madden Men's Luxor Slide Sandals - Dark Brown - Size 7 - Leather",89.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_LUXOR_DARK-BR_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41379806478469,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Dark Brown,,,6,TRUE,TRUE,TRUE
Steve Madden,7203315679365,7203315679365,Steve Madden Men's Luxor Slide Sandals - Black - Size 7 - Leather,https://www.stevemadden.com/products/luxor-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The LUXOR BLACK slide sandal combines understated elegance with everyday comfort. Featuring a contoured footbed that molds to your foot's natural shape, this design delivers support through extended wear. Rounded toe styling offers a refined silhouette, while adjustable buckle straps ensure a customized fit. Crafted with the discerning eye for quality footwear, this versatile slide transitions seamlessly from casual outings to relaxed weekend wear. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden LUXOR BLACK | 7 | Steve Madden Men's Luxor Slide Sandals - Black - Size 7 - Leather","The LUXOR BLACK slide sandal combines understated elegance with everyday comfort. Featuring a contoured footbed that molds to your foot's natural shape, this design delivers support through extended wear. Rounded toe styling offers a refined silhouette, while adjustable buckle straps ensure a customized fit. Crafted with the discerning eye for quality footwear, this versatile slide transitions seamlessly from casual outings to relaxed weekend wear. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden LUXOR BLACK | 7 | Steve Madden Men's Luxor Slide Sandals - Black - Size 7 - Leather",89.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_LUXOR_BLACK_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41379807232133,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,7,TRUE,TRUE,TRUE
Steve Madden,5227521638533,5227521638533,Steve Madden Men's Reese Slide Sandals - Black - Size 7 - Leather,https://www.stevemadden.com/products/reese-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The REESE BLACK slide sandal delivers effortless comfort with a sleek silhouette that transitions seamlessly from poolside to casual outings. Featuring a contoured footbed designed for all-day support, this versatile style pairs with everything from swimwear to athleisure. The durable construction ensures lasting wear, while the minimalist design makes it a wardrobe essential that works across seasons. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden REESE BLACK | 7 | Steve Madden Men's Reese Slide Sandals - Black - Size 7 - Leather","The REESE BLACK slide sandal delivers effortless comfort with a sleek silhouette that transitions seamlessly from poolside to casual outings. Featuring a contoured footbed designed for all-day support, this versatile style pairs with everything from swimwear to athleisure. The durable construction ensures lasting wear, while the minimalist design makes it a wardrobe essential that works across seasons. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden REESE BLACK | 7 | Steve Madden Men's Reese Slide Sandals - Black - Size 7 - Leather",89.99,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_REESE_BLACK_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41379807887493,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,8,TRUE,TRUE,TRUE
Steve Madden,7203316367493,7203316367493,Steve Madden Men's Reese Slide Sandals - Brown - Size 7 - Leather,https://www.stevemadden.com/products/reese-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The REESE BROWN slide sandal delivers effortless comfort with a sleek silhouette that transitions seamlessly from poolside to casual outings. Featuring a contoured footbed designed for all-day support, this versatile style pairs with everything from swimwear to athleisure. The durable construction ensures lasting wear, while the minimalist design makes it a wardrobe essential that works across seasons. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden REESE BROWN | 7 | Steve Madden Men's Reese Slide Sandals - Brown - Size 7 - Leather","The REESE BROWN slide sandal delivers effortless comfort with a sleek silhouette that transitions seamlessly from poolside to casual outings. Featuring a contoured footbed designed for all-day support, this versatile style pairs with everything from swimwear to athleisure. The durable construction ensures lasting wear, while the minimalist design makes it a wardrobe essential that works across seasons. 1 inch heel height Leather upper material Microfiber and synthetic lining Microfiber and synthetic sock Synthetic sole Imported Steve Madden REESE BROWN | 7 | Steve Madden Men's Reese Slide Sandals - Brown - Size 7 - Leather",89.99,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_REESE_BROWN_01.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41379808673925,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Brown,,,9,TRUE,TRUE,TRUE
Steve Madden,7218036998277,7218036998277,Steve Madden Men's Maiven Slide Sandals - White - Size 7 - Leather,https://www.stevemadden.com/products/maiven-white?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Discover the versatile and stylish MAIVEN WHITE sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Fabric and synthetic lining Fabric and synthetic sock EVA sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN WHITE | 7 | Steve Madden Men's Maiven Slide Sandals - White - Size 7 - Leather","Discover the versatile and stylish MAIVEN WHITE sandals. Perfectly crafted for your comfort, these slides offer a carefree and effortless summer look. Embrace the simplicity of a slip-on sandal. 1.5 inch heel height Leather upper material Fabric and synthetic lining Fabric and synthetic sock EVA sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MAIVEN WHITE | 7 | Steve Madden Men's Maiven Slide Sandals - White - Size 7 - Leather",109.95,109.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_MAIVEN_WHITE_04.jpg,Men's Shoes > Sandals,Men's Shoes > Sandals,14/08/2026,,FALSE,41425272045701,,IN STOCK,,"10, 11, 12, 13, 7, 8, 9",White,,,10,TRUE,TRUE,FALSE
