prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,1353521561690,1353521561690,Steve Madden Women's Luca Cuffed Boots - Black - Size 6 - Leather,https://www.stevemadden.com/products/luca-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The LUCA boot features a sleek pointed-toe and a comfortable kitten heel, expertly crafted from high-quality materials. This design offers a sophisticated, streamlined look that enhances any outfit, providing subtle elevation without sacrificing comfort. Ideal for professional settings or stylish everyday wear, this boot combines timeless elegance with practical wearability. 2 inch heel height 15.5 inch shaft circumference 15.5 inch shaft height Leather upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden LUCA BLACK LEATHER | 6 | Steve Madden Women's Luca Cuffed Boots - Black - Size 6 - Leather","The LUCA boot features a sleek pointed-toe and a comfortable kitten heel, expertly crafted from high-quality materials. This design offers a sophisticated, streamlined look that enhances any outfit, providing subtle elevation without sacrificing comfort. Ideal for professional settings or stylish everyday wear, this boot combines timeless elegance with practical wearability. 2 inch heel height 15.5 inch shaft circumference 15.5 inch shaft height Leather upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden LUCA BLACK LEATHER | 6 | Steve Madden Women's Luca Cuffed Boots - Black - Size 6 - Leather",69.99,199.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_LUCA_BLACK-LEATHER_01.jpg,Women's Shoes > Boots,Women's Shoes > Boots,18/08/2026,,FALSE,12365616808026,,IN STOCK,,"10, 12, 6, 6.5, 7, 8, 9, 9.5",Black,,,1,TRUE,TRUE,TRUE
Steve Madden,4298324770906,4298324770906,Steve Madden Women's Slinky30 Mule Sandals - Black - Size 9 - Leather,https://www.stevemadden.com/products/slinky30-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"True SM stans can’t help but love this iconic sandal, the SLINKY. Characterized by a sculpted platform sole and stretchy fabric upper, this shoe is recognizable for any Steve Madden fan. 2.25 inch heel height 1.25 inch platform Textile upper material Synthetic lining Vegan leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden SLINKY30 BLACK | 9 | Steve Madden Women's Slinky30 Mule Sandals - Black - Size 9 - Leather","True SM stans can’t help but love this iconic sandal, the SLINKY. Characterized by a sculpted platform sole and stretchy fabric upper, this shoe is recognizable for any Steve Madden fan. 2.25 inch heel height 1.25 inch platform Textile upper material Synthetic lining Vegan leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden SLINKY30 BLACK | 9 | Steve Madden Women's Slinky30 Mule Sandals - Black - Size 9 - Leather",89.95,89.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_SLINKY30_BLACK_01.jpg,Women's Shoes > Sandals,Women's Shoes > Sandals,18/08/2026,,FALSE,30950177505370,,IN STOCK,,"10, 11, 14, 5, 6, 7, 8, 9",Black,,,2,TRUE,TRUE,FALSE
Steve Madden,1915925659738,1915925659738,Steve Madden Women's Murray Block Heel Booties - Black - Size 11 - Leather,https://www.stevemadden.com/products/murray-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted and stylish, the MURRAY Chelsea boot is a versatile addition to your wardrobe. With a comfortable block heel and rounded toe, this ankle boot provides both fashion and function. This sleek and timeless bootie adds a touch of sophistication to any outfit. 2.5 inch heel height 10.5 inch shaft circumference 7.25 inch shaft height Textile and leather upper material Textile and synthetic lining Synthetic sock Synthetic sole Imported Steve Madden MURRAY BLACK LEATHER | 11 | Steve Madden Women's Murray Block Heel Booties - Black - Size 11 - Leather","Expertly crafted and stylish, the MURRAY Chelsea boot is a versatile addition to your wardrobe. With a comfortable block heel and rounded toe, this ankle boot provides both fashion and function. This sleek and timeless bootie adds a touch of sophistication to any outfit. 2.5 inch heel height 10.5 inch shaft circumference 7.25 inch shaft height Textile and leather upper material Textile and synthetic lining Synthetic sock Synthetic sole Imported Steve Madden MURRAY BLACK LEATHER | 11 | Steve Madden Women's Murray Block Heel Booties - Black - Size 11 - Leather",99.99,139.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MURRAY_BLACK-LEATHER.jpg,Women's Shoes > Booties,Women's Shoes > Booties,18/08/2026,,FALSE,31329724661905,,IN STOCK,,11,Black,,,3,TRUE,TRUE,TRUE
Steve Madden,4691970162821,4691970162821,Steve Madden Women's Hadyn Square Toe Sandals - White - Size 7.5 - Leather,https://www.stevemadden.com/products/hadyn-white-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Geometric cutouts on the wide single strap of the HADYN slide give this flat sandal design a fresh feel. Slip-on style Cutout details on strap .75 inch heel height Leather, vegan leather, or textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden HADYN WHITE LEATHER | 7.5 | Steve Madden Women's Hadyn Square Toe Sandals - White - Size 7.5 - Leather","Geometric cutouts on the wide single strap of the HADYN slide give this flat sandal design a fresh feel. Slip-on style Cutout details on strap .75 inch heel height Leather, vegan leather, or textile upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden HADYN WHITE LEATHER | 7.5 | Steve Madden Women's Hadyn Square Toe Sandals - White - Size 7.5 - Leather",69.95,69.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_HADYN_WHITE-LEATHER_01.jpg,Women's Shoes > Sandals,Women's Shoes > Sandals,18/08/2026,,FALSE,32864570835077,,IN STOCK,,"10, 11, 12, 13, 14, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",White,,,4,TRUE,TRUE,FALSE
Steve Madden,5171888783493,5171888783493,Steve Madden Kids' Rezume Sneakers - White Multi - Size 5.0C - Leather,https://www.stevemadden.com/products/jrezume-white-multi?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The kids' REZUME sneaker boasts a lace-up closure with an ankle pull tab for easy on and off, along with a rubber non-skid outsole for superior traction. With its low-top design and star detail, this sneaker combines style and functionality for any casual outfit. Lace-up closure with ankle pull tab Rubber non-skid outsole .75 inch heel height Synthetic upper material Terry lining Vegan leather sock Synthetic sole Imported Steve Madden KIDS' REZUME WHITE MULTI | 5.0C | Steve Madden Kids' Rezume Sneakers - White Multi - Size 5.0C - Leather","The kids' REZUME sneaker boasts a lace-up closure with an ankle pull tab for easy on and off, along with a rubber non-skid outsole for superior traction. With its low-top design and star detail, this sneaker combines style and functionality for any casual outfit. Lace-up closure with ankle pull tab Rubber non-skid outsole .75 inch heel height Synthetic upper material Terry lining Vegan leather sock Synthetic sole Imported Steve Madden KIDS' REZUME WHITE MULTI | 5.0C | Steve Madden Kids' Rezume Sneakers - White Multi - Size 5.0C - Leather",29.99,49.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_KIDS_JREZUME_WHITE-MULTI.jpg,Kid's Shoes > Sneakers,Kid's Shoes > Sneakers,18/08/2026,,FALSE,34608308060293,,IN STOCK,,5.0C,White Multi,,,5,TRUE,TRUE,TRUE
Steve Madden,6555341750405,6555341750405,Steve Madden Kids' Carrson Smooth Heels - Full Black - Size 4.0C - Leather,https://www.stevemadden.com/products/jcarrson-full-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A minimalist kids' sandal, CARRSON features a 2-strap design set on a low block heel for fuss-free dressy style. Kids' block heel dress sandal Ankle strap with buckle closure 2.5 inch heel height Synthetic upper material Vegan leather lining Synthetic sock Synthetic sole Imported Steve Madden KIDS' CARRSON BLACK SMOOTH | Full Black | 4.0C | Steve Madden Kids' Carrson Smooth Heels - Full Black - Size 4.0C - Leather","A minimalist kids' sandal, CARRSON features a 2-strap design set on a low block heel for fuss-free dressy style. Kids' block heel dress sandal Ankle strap with buckle closure 2.5 inch heel height Synthetic upper material Vegan leather lining Synthetic sock Synthetic sole Imported Steve Madden KIDS' CARRSON BLACK SMOOTH | Full Black | 4.0C | Steve Madden Kids' Carrson Smooth Heels - Full Black - Size 4.0C - Leather",59.95,59.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_KIDS_JCARRSON_BLACK_b49591b3-271e-472a-af9c-00a7af6a7cef.jpg,Kid's Shoes > Heels,Kid's Shoes > Heels,18/08/2026,,FALSE,39326776557701,,IN STOCK,,"1.0C, 4.0C, 5.0C, 6.0C, 7.0C",Full Black,,,6,TRUE,TRUE,FALSE
Steve Madden,6555341783173,6555341783173,Steve Madden Kids' Carrson Heels - Blush - Size 3.0C - Leather,https://www.stevemadden.com/products/jcarrson-blush-patent?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A minimalist kids' sandal, CARRSON features a 2-strap design set on a low block heel for fuss-free dressy style. Kids' block heel dress sandal Ankle strap with buckle closure 2.5 inch heel height Synthetic upper material Vegan leather lining Synthetic sock Synthetic sole Imported Steve Madden KIDS' CARRSON BLUSH PATENT | 3.0C | Steve Madden Kids' Carrson Heels - Blush - Size 3.0C - Leather","A minimalist kids' sandal, CARRSON features a 2-strap design set on a low block heel for fuss-free dressy style. Kids' block heel dress sandal Ankle strap with buckle closure 2.5 inch heel height Synthetic upper material Vegan leather lining Synthetic sock Synthetic sole Imported Steve Madden KIDS' CARRSON BLUSH PATENT | 3.0C | Steve Madden Kids' Carrson Heels - Blush - Size 3.0C - Leather",59.95,59.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_KIDS_JCARRSON_BLUSH_0019a6ea-7f34-4ff1-b6ba-34689113736a.jpg,Kid's Shoes > Heels,Kid's Shoes > Heels,18/08/2026,,FALSE,39326776721541,,IN STOCK,,"1.0C, 2.0C, 3.0C, 4.0C, 5.0C, 6.0C, 7.0C",Blush,,,7,TRUE,TRUE,FALSE
Steve Madden,6554352124037,6554352124037,Steve Madden Women's Maxima Rhinestones Lace-Up Sneakers - Black - Size 5,https://www.stevemadden.com/products/maxima-r-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Elevate your sneaker game with our MAXIMA lace-up sneakers. Adorned with monochromatic rhinestones, these low-top kicks are both stylish and comfortable. Made for everyday wear, you'll love the effortless glam they add to any outfit. 1.75 inch heel height Textile and vegan suede upper material with studs Textile lining Textile sock Synthetic sole Fit Tip: If you are in between sizes, size up a half size Imported Steve Madden MAXIMA BLACK RHINESTONES | 5 | Steve Madden Women's Maxima Rhinestones Lace-Up Sneakers - Black - Size 5","Elevate your sneaker game with our MAXIMA lace-up sneakers. Adorned with monochromatic rhinestones, these low-top kicks are both stylish and comfortable. Made for everyday wear, you'll love the effortless glam they add to any outfit. 1.75 inch heel height Textile and vegan suede upper material with studs Textile lining Textile sock Synthetic sole Fit Tip: If you are in between sizes, size up a half size Imported Steve Madden MAXIMA BLACK RHINESTONES | 5 | Steve Madden Women's Maxima Rhinestones Lace-Up Sneakers - Black - Size 5",49.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MAXIMA-R_BLACK_01.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,18/08/2026,,FALSE,39341925728389,,IN STOCK,,5,Black,,,8,TRUE,TRUE,TRUE
Steve Madden,6583992385669,6583992385669,Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather,https://www.stevemadden.com/products/lando-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Not just for prep school, LANDO makes a cool statement. Set on a chunky lug sole, this platform loafer is detailed with classic horsebit hardware. 1.5 inch heel height 1 inch platform Leather upper material with hardware Synthetic lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden LANDO BLACK LEATHER | 8 | Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather","Not just for prep school, LANDO makes a cool statement. Set on a chunky lug sole, this platform loafer is detailed with classic horsebit hardware. 1.5 inch heel height 1 inch platform Leather upper material with hardware Synthetic lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden LANDO BLACK LEATHER | 8 | Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather",79.95,79.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_LANDO_BLACK-LEATHER_01.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,18/08/2026,,FALSE,39454926078085,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,9,TRUE,TRUE,FALSE
Steve Madden,6585848823941,6585848823941,Steve Madden Women's Klayton Block Heel Booties - Black - Size 11 - Faux Leather,https://www.stevemadden.com/products/klayton-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Bring a retro twist to all your looks in KLAYTON. Set on a thick platform sole, these 70s-inspired boots have a close sock-like fit and go with everything from midi skirts to floral dresses. The ultimate throwback! Stretch upper to fit most leg sizes Mid-calf shaft height Looks great with dresses and denim 3.5 inch heel height 1 inch platform 9.75 inch shaft circumference 8 inch shaft height Vegan leather upper material Textile and synthetic lining Vegan leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden KLAYTON BLACK | 11 | Steve Madden Women's Klayton Block Heel Booties - Black - Size 11 - Faux Leather","Bring a retro twist to all your looks in KLAYTON. Set on a thick platform sole, these 70s-inspired boots have a close sock-like fit and go with everything from midi skirts to floral dresses. The ultimate throwback! Stretch upper to fit most leg sizes Mid-calf shaft height Looks great with dresses and denim 3.5 inch heel height 1 inch platform 9.75 inch shaft circumference 8 inch shaft height Vegan leather upper material Textile and synthetic lining Vegan leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden KLAYTON BLACK | 11 | Steve Madden Women's Klayton Block Heel Booties - Black - Size 11 - Faux Leather",79.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_KLAYTON_BLACK_01.jpg,Women's Shoes > Booties,Women's Shoes > Booties,18/08/2026,,FALSE,39462219513989,,IN STOCK,,"11, 12, 9",Black,,,10,TRUE,TRUE,TRUE
