prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55125225,55125225,55125225,Naomi Relaxed Jersey Dress Boden,https://us.boden.com/products/women-naomi-relaxed-jersey-dress-black-d1053bla?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,99.00,99.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_d1053_bla_m01_055b1ec8-f7d8-435e-a741-469b8f5b6945.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-naomi-relaxed-jersey-dress-black-d1053bla?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,457,IN STOCK,,,Black,,,,TRUE,TRUE
55095503,55095503,55095503,Naomi Relaxed Jersey Dress Boden,https://us.boden.com/products/women-naomi-relaxed-jersey-dress-navy-d1053nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,99.00,99.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_d1053_nav_m04_f9b3daca-fed5-46f6-ac17-473320534d88.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-naomi-relaxed-jersey-dress-navy-d1053nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,349,IN STOCK,,,Navy,,,,TRUE,TRUE
55094970,55094970,55094970,Marcia Jersey Shirt Dress Boden,https://us.boden.com/products/women-marcia-jersey-shirt-dress-navy-d1033nsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_d1033_nsp_m01_b5123e90-06ee-4862-b021-dbdf0f8eb87f.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-marcia-jersey-shirt-dress-navy-d1033nsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,356,IN STOCK,,,Navy,,,,TRUE,TRUE
55115843,55115843,55115843,Imogen Collared Jersey Dress Boden,https://us.boden.com/products/women-imogen-collared-jersey-dress-black-d1147blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_d1147_blk_m04_0d1b7f7e-cb2a-47f4-bde8-6cbcf8407dc7.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-imogen-collared-jersey-dress-black-d1147blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,316,IN STOCK,,,Black,,,,TRUE,TRUE
55148797,55148797,55148797,Bridget Ponte Shirt Dress Boden,https://us.boden.com/products/women-bridget-ponte-shirt-dress-navy-d1491nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,220.00,220.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_d1491_nav_m04_v1_557b1b49-d44b-4a8f-9163-93947a7e9006.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-bridget-ponte-shirt-dress-navy-d1491nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,219,IN STOCK,,,Navy,,,,TRUE,TRUE
55161488,55161488,55161488,Ivy Button Cotton Midi Dress Boden,https://us.boden.com/products/women-ivy-button-cotton-midi-dress-verdant-green-meadow-scatter-d1535grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,154.00,220.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1535_grn_m01.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-ivy-button-cotton-midi-dress-verdant-green-meadow-scatter-d1535grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,10,IN STOCK,,,"Verdant Green, Meadow Scatter",,,,TRUE,TRUE
55166133,55166133,55166133,Anna Linen Jumpsuit Boden,https://us.boden.com/products/women-anna-linen-jumpsuit-amazon-green-d1712grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,123.99,249.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1712_grn_m01_310f9981-229d-4219-b4bf-1ec20ff42cbb.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-anna-linen-jumpsuit-amazon-green-d1712grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,34,IN STOCK,,,Amazon Green,,,,TRUE,TRUE
55154186,55154186,55154186,Florence Linen Blend Dress Boden,https://us.boden.com/products/women-florence-linen-blend-dress-orange-ornamental-garden-d1541brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,192.00,320.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1541_brn_m01_v6.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-florence-linen-blend-dress-orange-ornamental-garden-d1541brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,84,IN STOCK,,,"Orange, Ornamental Garden",,,,TRUE,TRUE
55152937,55152937,55152937,Ava Linen Blend Midi Dress Boden,https://us.boden.com/products/women-ava-linen-blend-midi-dress-pink-green-purple-multi-d1520mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,256.00,320.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1520_mul_m01_04f7b749-d26c-472e-9212-ec8c4be08940.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-ava-linen-blend-midi-dress-pink-green-purple-multi-d1520mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,50,IN STOCK,,,"Pink, Green, Purple Multi",,,,TRUE,TRUE
55161646,55161646,55161646,Cary Cotton Midi Dress Boden,https://us.boden.com/products/women-cary-cotton-midi-dress-red-ornamental-garden-mono-d1523red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,199.20,249.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1523_red_m01_64b7a125-3aef-47bc-afea-5616c124f36b.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-cary-cotton-midi-dress-red-ornamental-garden-mono-d1523red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,47,IN STOCK,,,Red Ornamental Garden Mono,,,,TRUE,TRUE
55152366,55152366,55152366,Kate Puff Sleeve Belted Dress Boden,https://us.boden.com/products/women-kate-puff-sleeve-belted-dress-ivory-elegant-garden-d1463ecr?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,209.30,299.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1463_ecr_m01_v1_18027e60-1c75-48f3-b7a3-2a795a0a5ded.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-kate-puff-sleeve-belted-dress-ivory-elegant-garden-d1463ecr?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,67,IN STOCK,,,"Ivory, Elegant Garden",,,,TRUE,TRUE
55153611,55153611,55153611,Tamsin Jersey Midi Dress Boden,https://us.boden.com/products/women-tamsin-jersey-midi-dress-navy-d1498nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,98.00,140.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1498_nav_m01_2aa0171b-af0e-4271-b782-f8f1e3a1bbfb.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-tamsin-jersey-midi-dress-navy-d1498nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,8,IN STOCK,,,Navy,,,,TRUE,TRUE
55181049,55181049,55181049,Irene Puff Sleeve Cotton Dress Boden,https://us.boden.com/products/women-irene-puff-sleeve-cotton-dress-gold-wheat-meadow-scatter-d1662yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,182.00,260.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1662_yel_m04_b0c4aa5b-d087-462b-abcc-6451690d5b60.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-irene-puff-sleeve-cotton-dress-gold-wheat-meadow-scatter-d1662yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,17,IN STOCK,,,"Gold Wheat, Meadow Scatter",,,,TRUE,TRUE
55161368,55161368,55161368,Pia Cotton Yoke Dress Boden,https://us.boden.com/products/women-pia-cotton-yoke-dress-blue-stripe-d1592blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,174.30,249.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wsum_d1592_blu_m01_dae26d9a-a1cb-4524-93b6-ef1ae4151c57.jpg?v=1&width=800,Women,Women,25/08/2026,https://us.boden.com/products/women-pia-cotton-yoke-dress-blue-stripe-d1592blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,22,IN STOCK,,,Blue Stripe,,,,TRUE,TRUE
