prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55015974,55015974,55015974,Schmal geschnittene Hose zum Hineinschlüpfen Jungen Boden,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schuluniform-marineblau-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bspr_b2795_nvy_v1_9bad95b4-6faa-456d-92eb-23937b32b77e.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schuluniform-marineblau-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,172,IN STOCK,,,Schuluniform-Marineblau Cord,,,,TRUE,TRUE
55003319,55003319,55003319,Schmal geschnittene Hose zum Hineinschlüpfen Jungen Boden,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schwarz-b2795blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42.00,42.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25baut_b2795_blk_fcf13801-5b0c-4756-825d-aa340289737f.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schwarz-b2795blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,153,IN STOCK,,,Schwarz,,,,TRUE,TRUE
55057432,55057432,55057432,Jeans mit verstärktem Knie Jungen Boden,https://eu.boden.com/products/jungen-jeans-mit-verstaerktem-knie-mittelblaue-waschung-b2905den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,50.00,50.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26bspr_b2905_den_m01_v1.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-jeans-mit-verstaerktem-knie-mittelblaue-waschung-b2905den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,113,IN STOCK,,,Mittelblaue Waschung,,,,TRUE,TRUE
55089131,55089131,55089131,Klassische Chinohose Jungen Boden,https://eu.boden.com/products/jungen-klassische-chinohose-schuluniform-marineblau-b3019nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bspr_b3019_nvy_v1_0a37d57c-e562-4b11-bc1b-4d8b95ce01e4.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-klassische-chinohose-schuluniform-marineblau-b3019nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,232,IN STOCK,,,Schuluniform-Marineblau,,,,TRUE,TRUE
55101719,55101719,55101719,Unverzichtbare Jogginghose Jungen Boden,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-schwarz-b3062blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.00,32.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25baut_b3062_blk_01b1304f-6589-48e6-a29b-faf6fa95f65a.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-schwarz-b3062blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,210,IN STOCK,,,Schwarz,,,,TRUE,TRUE
55101660,55101660,55101660,Unverzichtbare Jogginghose Jungen Boden,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-marineblau-b3062nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25baut_b3062_nav.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-marineblau-b3062nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,223,IN STOCK,,,Marineblau,,,,TRUE,TRUE
55101692,55101692,55101692,Unverzichtbare Jogginghose Jungen Boden,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-anthrazit-meliert-b3062lgy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.00,32.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25baut_b3062_lgy_731982dd-7db7-42d0-985b-b163ad8ada38.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-unverzichtbare-jogginghose-anthrazit-meliert-b3062lgy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,195,IN STOCK,,,Anthrazit Meliert,,,,TRUE,TRUE
55122806,55122806,55122806,Bequeme Jogginghose mit Druck Mädchen Boden,https://eu.boden.com/products/maedchen-bequeme-jogginghose-mit-druck-schuluniform-marineblau-himmlisch-g5727nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,18.00,45.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5727_nav_m01_14b3b3d9-287b-4605-8de4-a6c0197fb121.jpg?v=1&width=800,Mädchen,Mädchen,04/09/2026,https://eu.boden.com/products/maedchen-bequeme-jogginghose-mit-druck-schuluniform-marineblau-himmlisch-g5727nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,96,IN STOCK,,,Schuluniform-Marineblau Himmlisch,,,,TRUE,TRUE
55145991,55145991,55145991,Klassische Chinohose Jungen Boden,https://eu.boden.com/products/jungen-klassische-chinohose-schuluniform-marineblau-b3209nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26bsum_b3209_nav_3fe6d29e-68fc-476a-83a9-e75c7bbc9770.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-klassische-chinohose-schuluniform-marineblau-b3209nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,111,IN STOCK,,,Schuluniform-Marineblau,,,,TRUE,TRUE
55145177,55145177,55145177,Klassische Chinohose Jungen Boden,https://eu.boden.com/products/jungen-klassische-chinohose-klassisches-hellbraun-b3209brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26bspr_b3209_brn_m01.jpg?v=1&width=800,Jungen,Jungen,04/09/2026,https://eu.boden.com/products/jungen-klassische-chinohose-klassisches-hellbraun-b3209brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,107,IN STOCK,,,Klassisches Hellbraun,,,,TRUE,TRUE
