prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6583992385669,6583992385669,6583992385669,Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather,https://www.stevemadden.com/products/lando-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Not just for prep school, LANDO makes a cool statement. Set on a chunky lug sole, this platform loafer is detailed with classic horsebit hardware. 1.5 inch heel height 1 inch platform Leather upper material with hardware Synthetic lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden LANDO BLACK LEATHER | 8 | Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather","Not just for prep school, LANDO makes a cool statement. Set on a chunky lug sole, this platform loafer is detailed with classic horsebit hardware. 1.5 inch heel height 1 inch platform Leather upper material with hardware Synthetic lining Synthetic sole Synthetic sock Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden LANDO BLACK LEATHER | 8 | Steve Madden Women's Lando Platform Loafers - Black - Size 8 - Leather",79.95,79.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_LANDO_BLACK-LEATHER_01.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,24/08/2026,,FALSE,39454926078085,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,1,TRUE,TRUE,FALSE
Steve Madden,6657729200261,6657729200261,6657729200261,Steve Madden Women's Minka Platform Loafers - Black - Size 6 - Leather,https://www.stevemadden.com/products/minka-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The MINKA lug loafer features both fringe trim and tassels at the top with a treaded platform sole for extra texture. 1.25 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MINKA BLACK LEATHER | 6 | Steve Madden Women's Minka Platform Loafers - Black - Size 6 - Leather","The MINKA lug loafer features both fringe trim and tassels at the top with a treaded platform sole for extra texture. 1.25 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MINKA BLACK LEATHER | 6 | Steve Madden Women's Minka Platform Loafers - Black - Size 6 - Leather",99.95,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN-SHOES_MINKA_BLACK-LEATHER_SIDE.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,24/08/2026,,FALSE,39673474842757,,IN STOCK,,"10, 11, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,2,TRUE,TRUE,FALSE
Steve Madden,6853357207685,6853357207685,6853357207685,Steve Madden Women's Benita Ballet Flats - Silver - Size 6.5 - Synthetic,https://www.stevemadden.com/products/benita-silver?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,DAINTY + PRETTY + EFFORTLESS Grosgrain ribbon trim and a cord bow at the front gives the monochrome BENITA ballet flat design subtle texture. Ballet flat Slip-on style Cord bow at front .25 inch heel height Synthetic upper material Textile lining Synthetic sock Synthetic sole Imported Steve Madden BENITA SILVER | 6.5 | Steve Madden Women's Benita Ballet Flats - Silver - Size 6.5 - Synthetic,DAINTY + PRETTY + EFFORTLESS Grosgrain ribbon trim and a cord bow at the front gives the monochrome BENITA ballet flat design subtle texture. Ballet flat Slip-on style Cord bow at front .25 inch heel height Synthetic upper material Textile lining Synthetic sock Synthetic sole Imported Steve Madden BENITA SILVER | 6.5 | Steve Madden Women's Benita Ballet Flats - Silver - Size 6.5 - Synthetic,39.99,69.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_BENITA_SILVER.jpg,Women's Shoes > Flats,Women's Shoes > Flats,24/08/2026,,FALSE,40305985093765,,IN STOCK,,"10, 6.5, 7.5, 8, 8.5, 9.5",Silver,,,3,TRUE,TRUE,TRUE
Steve Madden,6888175796357,6888175796357,6888175796357,Steve Madden Women's Idaline Pointed Toe Flats - Natural - Size 6 - Leather,https://www.stevemadden.com/products/idaline-natural?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Elevate your style with the IDALINE ballet flats. Featuring a chic pointed toe design and comfortable sole, these flats are the perfect addition to your wardrobe. .25 inch heel height Mesh textile upper material with leather French piping Unlined Synthetic sock Synthetic sole Imported Steve Madden IDALINE NATURAL | 6 | Steve Madden Women's Idaline Pointed Toe Flats - Natural - Size 6 - Leather","Elevate your style with the IDALINE ballet flats. Featuring a chic pointed toe design and comfortable sole, these flats are the perfect addition to your wardrobe. .25 inch heel height Mesh textile upper material with leather French piping Unlined Synthetic sock Synthetic sole Imported Steve Madden IDALINE NATURAL | 6 | Steve Madden Women's Idaline Pointed Toe Flats - Natural - Size 6 - Leather",49.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_IDALINE_TAN_01.jpg,Women's Shoes > Flats,Women's Shoes > Flats,24/08/2026,,FALSE,40411863416965,,IN STOCK,,"10, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Natural,,,4,TRUE,TRUE,TRUE
Steve Madden,6934232531077,6934232531077,6934232531077,Steve Madden Women's Selena Faux Shearling Slip-On Flats - Natural - Size 5 - Synthetic,https://www.stevemadden.com/products/selena-f-natural?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Slip into the SELENA mule slip-on for the ultimate comfy-cute look. Soft-as-clouds faux shearling lining and a low back make these slip-ons perfect for all-day lounging. 1.5 inch heel height Faux shearling and textile upper material Faux shearling Faux shearling sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden SELENA FAUX SHEARLING NATURAL | 5 | Steve Madden Women's Selena Faux Shearling Slip-On Flats - Natural - Size 5 - Synthetic","Slip into the SELENA mule slip-on for the ultimate comfy-cute look. Soft-as-clouds faux shearling lining and a low back make these slip-ons perfect for all-day lounging. 1.5 inch heel height Faux shearling and textile upper material Faux shearling Faux shearling sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden SELENA FAUX SHEARLING NATURAL | 5 | Steve Madden Women's Selena Faux Shearling Slip-On Flats - Natural - Size 5 - Synthetic",49.95,49.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_SELENA-F_NATURAL-2.jpg,Women's Shoes > Flats,Women's Shoes > Flats,24/08/2026,,FALSE,40563918700677,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Natural,,,5,TRUE,TRUE,FALSE
Steve Madden,6953793912965,6953793912965,6953793912965,Steve Madden Women's Madison Loafers - Black - Size 5 - Leather,https://www.stevemadden.com/products/madison-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Upgrade your shoe game with the MADISON loafer. Crafted with luxurious leather, this stylish shoe adds a touch of sophistication to any outfit. Step into comfort and class with every step. 1 inch heel height Leather upper material Leather lining Leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MADISON BLACK LEATHER | 5 | Steve Madden Women's Madison Loafers - Black - Size 5 - Leather","Upgrade your shoe game with the MADISON loafer. Crafted with luxurious leather, this stylish shoe adds a touch of sophistication to any outfit. Step into comfort and class with every step. 1 inch heel height Leather upper material Leather lining Leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MADISON BLACK LEATHER | 5 | Steve Madden Women's Madison Loafers - Black - Size 5 - Leather",99.95,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MADISON_BLACK-LEATHER_01.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,24/08/2026,,FALSE,40620966150277,,IN STOCK,,"10, 11, 12, 13, 14, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,6,TRUE,TRUE,FALSE
Steve Madden,6960655401093,6960655401093,6960655401093,Steve Madden Women's Madison Box Leather Loafers - Burgundy - Size 6,https://www.stevemadden.com/products/madison-burgundy?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Upgrade your shoe game with the MADISON loafer. Crafted with luxurious leather, this stylish shoe adds a touch of sophistication to any outfit. Step into comfort and class with every step. 1 inch heel height Leather upper material Leather lining Leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MADISON BURGUNDY BOX LEATHER | 6 | Steve Madden Women's Madison Box Leather Loafers - Burgundy - Size 6","Upgrade your shoe game with the MADISON loafer. Crafted with luxurious leather, this stylish shoe adds a touch of sophistication to any outfit. Step into comfort and class with every step. 1 inch heel height Leather upper material Leather lining Leather sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden MADISON BURGUNDY BOX LEATHER | 6 | Steve Madden Women's Madison Box Leather Loafers - Burgundy - Size 6",69.97,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MADISON_BURGUNDY_01.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,24/08/2026,,FALSE,40637334978693,,IN STOCK,,"6, 6.5, 7, 8, 9",Burgundy,,,7,TRUE,TRUE,TRUE
Steve Madden,6983710015621,6983710015621,6983710015621,Steve Madden Women's Leon Platform Loafers - Chocolate Brown Suede - Size 5,https://www.stevemadden.com/products/leon-chocolate-brown-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Introducing the LEON - a stylish platform loafer with sleek horsebit hardware detailing and a sturdy lug sole. The perfect combination of fashion and function, this shoe offers comfort and durability with a touch of modern sophistication. Elevate your everyday look with this must-have shoe. 1.5 inch heel height 3.75 inch shaft height Suede upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden LEON CHOCOLATE BROWN SUEDE | 5 | Steve Madden Women's Leon Platform Loafers - Chocolate Brown Suede - Size 5","Introducing the LEON - a stylish platform loafer with sleek horsebit hardware detailing and a sturdy lug sole. The perfect combination of fashion and function, this shoe offers comfort and durability with a touch of modern sophistication. Elevate your everyday look with this must-have shoe. 1.5 inch heel height 3.75 inch shaft height Suede upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden LEON CHOCOLATE BROWN SUEDE | 5 | Steve Madden Women's Leon Platform Loafers - Chocolate Brown Suede - Size 5",59.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_LEON_CHOCOLATE-BROWN-SUEDE_01.jpg,Women's Shoes > Loafers,Women's Shoes > Loafers,24/08/2026,,FALSE,40690009604229,,IN STOCK,,"10, 11, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Chocolate Brown Suede,,,8,TRUE,TRUE,TRUE
Steve Madden,7039164055685,7039164055685,7039164055685,Steve Madden Women's Austria Fisherman Flats - Gold - Size 6 - Leather,https://www.stevemadden.com/products/austria-gold-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted with a sleek design, these AUSTRIA flats feature a rounded toe for added comfort and versatility. Elevate any outfit with this timeless and sophisticated style, perfect for any occasion. .5 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden AUSTRIA GOLD LEATHER | 6 | Steve Madden Women's Austria Fisherman Flats - Gold - Size 6 - Leather","Expertly crafted with a sleek design, these AUSTRIA flats feature a rounded toe for added comfort and versatility. Elevate any outfit with this timeless and sophisticated style, perfect for any occasion. .5 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden AUSTRIA GOLD LEATHER | 6 | Steve Madden Women's Austria Fisherman Flats - Gold - Size 6 - Leather",59.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_AUSTRIA_GOLD-LEATHER.jpg,Women's Shoes > Flats,Women's Shoes > Flats,24/08/2026,,FALSE,40811908333701,,IN STOCK,,"10, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Gold,,,9,TRUE,TRUE,TRUE
Steve Madden,7039373115525,7039373115525,7039373115525,Steve Madden Women's Grove Square Toe Flats - Clear - Size 6 - Mesh,https://www.stevemadden.com/products/grove-clear?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The GROVE CLEAR is a mesh ballet flat with a jelly cage design, providing both style and comfort for everyday wear. With its airy design, your feet can stay cool and comfortable all day long. .25 inch heel height Synthetic upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden GROVE CLEAR | 6 | Steve Madden Women's Grove Square Toe Flats - Clear - Size 6 - Mesh","The GROVE CLEAR is a mesh ballet flat with a jelly cage design, providing both style and comfort for everyday wear. With its airy design, your feet can stay cool and comfortable all day long. .25 inch heel height Synthetic upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden GROVE CLEAR | 6 | Steve Madden Women's Grove Square Toe Flats - Clear - Size 6 - Mesh",24.97,49.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_GROVE_CLEAR.jpg,Women's Shoes > Flats,Women's Shoes > Flats,24/08/2026,,FALSE,40812766822533,,IN STOCK,,"10, 11, 6, 7, 8, 9",Clear,,,10,TRUE,TRUE,TRUE
